sentence	chars	lm-gpt2	lm-gpt2-div-chars	lm-gpt2-div-words	lm-gpt2-large	lm-gpt2-large-div-chars	lm-gpt2-large-div-words	lm-gpt2-medium	lm-gpt2-medium-div-chars	lm-gpt2-medium-div-words	words
"Usually Nell would just go back to her little cottage during these times, but sometimes, especially if the moon was full, she would wander around in the garden."	160.0	-131.89218139648438	-0.8243261337280273	-4.710435049874442	-109.99067687988281	-0.6874417304992676	-3.9282384599958147	-115.4420394897461	-0.721512746810913	-4.122929981776646	28.0
"And of course, many more traditional activities were going on, such as douching, makeup removal, moisturizing, and the like."	124.0	-99.35558319091797	-0.8012547031525643	-5.22924122057463	-96.50904083251953	-0.7782987163912866	-5.079423201711554	-96.66506958007812	-0.7795570127425655	-5.087635241056743	19.0
"“Cool!” the prisoner suddenly exclaimed, swiveling his head around in a spray of dreadlocks, trying as best he could to look down and back over his freckled shoulder."	166.0	-179.36734008789062	-1.0805261451077748	-6.405976431710379	-182.34136962890625	-1.0984419857163028	-6.5121917724609375	-164.72926330566406	-0.9923449596726751	-5.883187975202288	28.0
"There were also some samples of calligraphy dangling here and there, probably snatches of poetry."	97.0	-95.2308349609375	-0.9817611851643041	-6.348722330729166	-87.04537200927734	-0.8973749691678077	-5.8030248006184895	-90.63967895507812	-0.9344296799492591	-6.042645263671875	15.0
"The Diamond Palace of Source Victoria glittered peach and amber as it caught the sunrise, which was still hidden behind the mountain."	133.0	-137.3090362548828	-1.0323987688337053	-6.2413198297674	-134.4308319091797	-1.0107581346554864	-6.110492359508168	-133.82260131835938	-1.0061849723184915	-6.082845514470881	22.0
"Precisely."	10.0	-21.864704132080078	-2.1864704132080077	-21.864704132080078	-19.616226196289062	-1.9616226196289062	-19.616226196289062	-19.488216400146484	-1.9488216400146485	-19.488216400146484	1.0
"“Maggie,” the woman said."	25.0	-73.16950225830078	-2.926780090332031	-18.292375564575195	-74.7895736694336	-2.991582946777344	-18.6973934173584	-65.49275207519531	-2.6197100830078126	-16.373188018798828	4.0
"But before they could even make themselves comfortable, a hissing hyena with red eyes and dripping fangs came and chased them all away."	135.0	-106.86003112792969	-0.7915557861328125	-4.646088309909986	-103.86859893798828	-0.7693970291702835	-4.5160260407821	-105.49479675292969	-0.7814429389105902	-4.586730293605639	23.0
"The next morning I excused myself from Dojo’s cave and went back down to the beach, where the other three dinosaurs had already gathered, looking much the worse for wear as you can imagine."	189.0	-177.8976593017578	-0.9412574566230572	-5.232284097110524	-157.56642150878906	-0.8336847698877728	-4.6343065149643845	-166.07435607910156	-0.8787002967148231	-4.884539884679458	34.0
"The ship sank, but the basket containing the two babies bobbed like a cork on the ocean until the mermaids came and found them."	127.0	-122.82682037353516	-0.9671403179018516	-5.117784182230632	-101.39339447021484	-0.7983731848048413	-4.224724769592285	-113.23726654052734	-0.8916320200041523	-4.71821943918864	24.0
"When Fiona’s mother came by in a little half-lane car to pick her up, and saw her daughter’s red and ruinous face, an expression of black rage came over her own visage and she drove Fiona away without so much as a glance at Nell."	229.0	-253.22000122070312	-1.1057641974703194	-5.627111138237847	-227.01055908203125	-0.9913124850743723	-5.0446790907118055	-236.5926971435547	-1.0331558827229463	-5.257615492078993	45.0
"He was bent over using a trowel to extract a steaming turd from the emerald grass."	82.0	-91.79268646240234	-1.119423005639053	-5.7370429039001465	-86.9951171875	-1.0609160632621952	-5.43719482421875	-85.4539794921875	-1.0421217011242379	-5.340873718261719	16.0
"Next I was put into the care of the King of the Birds."	54.0	-63.425994873046875	-1.1745554606119792	-4.8789226825420675	-58.42388916015625	-1.0819238733362269	-4.494145320012019	-59.7088623046875	-1.1057196723090277	-4.592989408052885	13.0
